benchmark,conditional_clipped_eigenvalues,conditional_jitter,conditional_min_eigenvalue_raw,data_seed,delta,delta_ratio,derivative_covariance_jitter,derivative_support_violation,fit_source,loglog_mse_slope,mae,mse,opt_seed,pearson_correlation,run_id,sampling_implementation,sign_agreement,status
sigmoid,0,0.0,3.098051545864759e-11,13,0.25,0.025,1e-10,0.0,finite_difference_optimization,3.936326524298454,0.011440807712743094,0.000602168895544461,7,0.9997449237393585,finite_difference_sigmoid_data13_opt7,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99786,completed
sigmoid,0,0.0,7.274920358229344e-11,13,0.125,0.0125,1e-10,0.0,finite_difference_optimization,3.936326524298454,0.002903952441115083,3.862418111104238e-05,7,0.9999841085736825,finite_difference_sigmoid_data13_opt7,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99998,completed
sigmoid,0,0.0,8.993130905789196e-11,13,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,3.936326524298454,0.0007291959538309106,2.430816677774098e-06,7,0.99999900729924,finite_difference_sigmoid_data13_opt7,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,4.3289370434713634e-13,13,0.5,0.05,1e-10,0.0,finite_difference_optimization,3.937510301420272,0.042817925626282824,0.008516087982750612,8,0.9959394924834621,finite_difference_sigmoid_data13_opt8,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.98103,completed
sigmoid,0,0.0,3.098051545864759e-11,13,0.25,0.025,1e-10,0.0,finite_difference_optimization,3.937510301420272,0.011316362962688767,0.0005895871000050862,8,0.999748655629876,finite_difference_sigmoid_data13_opt8,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99764,completed
sigmoid,0,0.0,7.274920358229344e-11,13,0.125,0.0125,1e-10,0.0,finite_difference_optimization,3.937510301420272,0.0028727388784440494,3.782589535771814e-05,8,0.9999843368014469,finite_difference_sigmoid_data13_opt8,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,8.993130905789196e-11,13,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,3.937510301420272,0.0007214964419634849,2.3812081578330493e-06,8,0.9999990213144858,finite_difference_sigmoid_data13_opt8,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,4.3289370434713634e-13,13,0.5,0.05,1e-10,0.0,finite_difference_optimization,3.9381098954265914,0.04276220457783778,0.00844194209087841,9,0.995969922631832,finite_difference_sigmoid_data13_opt9,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.98114,completed
sigmoid,0,0.0,3.098051545864759e-11,13,0.25,0.025,1e-10,0.0,finite_difference_optimization,3.9381098954265914,0.011305089964340775,0.0005834677280415115,9,0.9997506164965289,finite_difference_sigmoid_data13_opt9,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99766,completed
sigmoid,0,0.0,7.274920358229344e-11,13,0.125,0.0125,1e-10,0.0,finite_difference_optimization,3.9381098954265914,0.002870064913797996,3.748129925369894e-05,9,0.9999844335840635,finite_difference_sigmoid_data13_opt9,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,8.993130905789196e-11,13,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,3.9381098954265914,0.0007206369794700025,2.356201458998785e-06,9,0.9999990282858514,finite_difference_sigmoid_data13_opt9,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
